46.5,17.9,192,3500
50,19.5,196,3900
51.3,19.2,193,3650
45.4,18.7,188,3525
52.7,19.8,197,3725
45.2,17.8,198,3950
46.1,18.2,178,3250
51.3,18.2,197,3750
46,18.9,195,4150
51.3,19.9,198,3700
46.6,17.8,193,3800
51.7,20.3,194,3775
47,17.3,185,3700
52,18.1,201,4050
45.9,17.1,190,3575
50.5,19.6,201,4050
50.3,20,197,3300
58,17.8,181,3700
46.4,18.6,190,3450
49.2,18.2,195,4400
42.4,17.3,181,3600
48.5,17.5,191,3400
43.2,16.6,187,2900
50.6,19.4,193,3800
46.7,17.9,195,3300
52,19,197,4150
50.5,18.4,200,3400
49.5,19,200,3800
46.4,17.8,191,3700
52.8,20,205,4550
40.9,16.6,187,3200
54.2,20.8,201,4300
42.5,16.7,187,3350
51,18.8,203,4100
49.7,18.6,195,3600
47.5,16.8,199,3900
47.6,18.3,195,3850
52,20.7,210,4800
46.9,16.6,192,2700
53.5,19.9,205,4500
49,19.5,210,3950
46.2,17.5,187,3650
50.9,19.1,196,3550
45.5,17,196,3500
50.9,17.9,196,3675
50.8,18.5,201,4450
50.1,17.9,190,3400
49,19.6,212,4300
51.5,18.7,187,3250
49.8,17.3,198,3675
